	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0026562	77282.4590752989	115638.005876274	75561.7210375031	129054.143359778	23324.3889326565	21424.9870523	13518.178612757	FBgn0026562	65114.8405637953	-2.38016404989642	0.0843269165524042	-28.2254367550282	2.8504732396421e-175	8.14950299213677e-172	chr3R	26869237	26871995	-	protein_coding	BM-40-SPARC
FBgn0039464	656.892307287422	902.435612555934	766.293995615376	932.472134102443	2010.48521905615	1986.16269208664	1379.84845273989	FBgn0039464	1233.51291620627	1.00615143225842	0.103512299677489	9.72011476310799	2.47502385180455e-22	3.53804659615461e-20	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0039479	109.277411866506	163.654126629314	134.193111193889	154.653914924308	424.180176652122	440.746435906296	349.99523043683	FBgn0039479	253.814343944181	1.31825102273809	0.145754088597466	9.04435021633425	1.50557921239607e-19	1.87150042097407e-17	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0039485	52.7969518006713	42.0824897046808	52.7972896500546	54.5837346791674	118.696839019791	148.036970838756	137.829980127778	FBgn0039485	86.6891794029857	1.09654813733072	0.195853604959937	5.59881518420363	2.15821729166368e-08	7.1748177172866e-07	chr3R	27101405	27102917	+	protein_coding	CG17189
FBgn0039593	29.4680661213049	16.3654126629314	32.2650103417	40.9378010093756	119.616969554828	94.2053450792084	113.825882465075	FBgn0039593	63.8120696049177	1.27648735625606	0.217457368376072	5.87005796027334	4.35642812599264e-09	1.54401173705119e-07	chr3R	28670703	28672021	+	protein_coding	CG9989
FBgn0039640	116.644428396832	158.978294439905	164.991530156421	171.711332011547	38.6454824715599	53.8316257595477	47.233869594351	FBgn0039640	107.433794690023	-1.33919645522985	0.194197064376335	-6.89606951336103	5.34610430243031e-12	2.95829268399644e-10	chr3R	29138661	29145787	+	protein_coding	CG14516
FBgn0024288	121.555772750383	164.823084676667	147.392433606402	153.516753785158	5.52078321022285	7.85044542326737	5.42028011738454	FBgn0024288	86.5827933670693	-2.86781820433283	0.214876855892198	-13.3463336124556	1.24423745479663e-40	5.33591232489534e-38	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0039827	628.652077254505	742.288360068676	557.30472408391	693.668294881086	48.7669183569685	26.9158128797738	38.7162865527467	FBgn0039827	390.901782011095	-3.50301408326107	0.160029619795947	-21.8897857017204	3.25038403462422e-106	4.64642397749533e-103	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0016715	265.212595091744	285.225763553948	355.648409448284	318.40511896181	58.888354242377	68.4110244027585	63.4947099465046	FBgn0016715	202.183710806775	-1.91129811593509	0.167996132797356	-11.3770363883351	5.44176812407304e-30	1.2614606810858e-27	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0035147	38021.1723130137	39044.3677396124	29174.9023057927	43942.1807390081	19729.4389322664	19203.3109975153	13295.9471279443	FBgn0035147	28915.9028793075	-1.11819742416955	0.10482195834745	-10.6675876104423	1.44324785469099e-26	2.94731829754395e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264475	1822.10875516735	1294.03655841894	1401.3280627952	1420.3142627975	262.237202485585	218.690979648162	269.465354407117	FBgn0264475	955.454453674265	-2.33448625218606	0.124230026382872	-18.7916425694965	8.84004051129829e-79	8.42455860726727e-76	chr3L	820758	821512	+	lincRNA	CR43883
FBgn0063667	4.91134435355082	2.33791609470449	5.13306982708864	9.09728911319457	44.1662656817828	35.8877505063651	32.5216807043072	FBgn0063667	19.1507594687134	1.14107019125943	0.230914941383208	4.94151735883472	7.75169133376099e-07	2.03945572299595e-05	chr3L	1201870	1203036	-	protein_coding	CG32335
FBgn0035189	46.6577713587328	111.051014498463	87.995482750091	65.9553460706606	599.925108844216	739.063361990456	498.665770799378	FBgn0035189	307.044836616	2.42860686965532	0.172849293531203	14.0504298284384	7.65678957448679e-45	4.10451776127333e-42	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0020248	22.1010495909787	25.7170770417494	23.4654620666909	20.4689005046878	102.134489389123	87.476391859265	85.9501561470977	FBgn0020248	52.4733609427989	1.35067243058215	0.217029696737882	6.22344522838928	4.86354654242147e-10	1.95843374151873e-08	chr3L	1475437	1489547	-	protein_coding	stet
FBgn0035344	147.340330606525	180.019539292246	154.725390502243	159.202559480905	51.5273099620799	62.8035633861389	44.1365666701313	FBgn0035344	114.250751414324	-1.31358057811898	0.18460345824801	-7.11568781314062	1.11356093285564e-12	7.02280303022266e-11	chr3L	2476258	2478448	-	protein_coding	Cyp4d20
FBgn0035523	25.7845578561418	23.3791609470449	58.6636551667273	46.6236067051222	72.6903122679342	141.308017618813	128.538071355119	FBgn0035523	70.9981974167003	1.00481918903004	0.223762532978598	4.49056048684498	7.1035998086224e-06	0.000152318938896386	chr3L	4277961	4281585	+	protein_coding	CG1311
FBgn0262733	186.631085434931	264.184518701607	280.118953421123	202.414682768579	864.002572399876	936.445989775465	1123.54663576071	FBgn0262733	551.049205466041	1.85754995127037	0.143393174683627	12.9542424551849	2.22319930257417e-38	7.94515850757445e-36	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0052407	478.856074471205	383.418239531536	445.110483577544	403.692204398009	92.9331840387513	76.2614698260259	118.471836851405	FBgn0052407	285.534784670639	-1.86794067139323	0.148210940015366	-12.603257702836	2.02600299395513e-36	6.68347218428968e-34	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0035710	2.45567217677541	9.35166437881796	14.6659137916818	13.6459336697919	46.0065267518571	48.2241647429281	48.7825210564609	FBgn0035710	26.1617709383304	1.04897852055908	0.232922108631799	4.50355926588874	6.68247206849198e-06	0.000143648027397132	chr3L	6689326	6703521	-	protein_coding	SP1173
FBgn0035727	51.5691157122836	53.7720701782033	54.9971767188069	46.6236067051222	167.46375737676	187.289197955093	139.378631589888	FBgn0035727	100.156222319451	1.29377092277765	0.190246109720955	6.80051184581541	1.04248098517016e-11	5.4190057029118e-10	chr3L	6971578	6972467	-	protein_coding	CG10063
FBgn0000116	599.1840111332	689.685247937825	506.707321502607	574.266375270407	1592.74595614929	1783.17260328502	955.517952121789	FBgn0000116	957.325638200019	1.08050079897349	0.132651394826547	8.14541603868048	3.77980040702956e-16	3.60214978789917e-14	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0023479	5179.01262081934	7027.7757806817	7059.43760362605	6219.13427000764	2062.93265955327	2342.79721274365	2202.18237912023	FBgn0023479	4584.75321807884	-1.44785739807769	0.11186135744054	-12.9433204746089	2.56307402052337e-38	8.79339434961157e-36	chr3L	9074642	9092131	+	protein_coding	Tequila
FBgn0040827	451.843680526675	455.893638467376	542.638810292228	415.063815789502	121.457230624903	88.5978840625889	141.701608783053	FBgn0040827	316.742381220904	-1.72262561701965	0.149975508395647	-11.486046191457	1.55047087146755e-30	3.79953961845061e-28	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0001225	351.161121278884	362.376994679196	307.250893935734	429.846910598443	1103.23651150953	897.193762659128	802.975783103967	FBgn0001225	607.720282537841	1.22164287869228	0.125002597153463	9.77293997493906	1.47119688471826e-22	2.17559580693595e-20	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0001224	459.210697057002	439.528225804444	454.643327542137	601.558242609991	1562.38164849307	1287.47304941585	1257.50498723321	FBgn0001224	866.042882593671	1.34915439571855	0.12382660440406	10.895513142847	1.21082079691903e-27	2.59630249379362e-25	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0001226	694.955226027441	869.704787230071	870.421983536317	1136.02397801017	3187.33217336866	2860.92661067929	2734.14415635497	FBgn0001226	1764.7869878867	1.56713548792545	0.117953762174502	13.2860152913734	2.79047587552857e-40	1.13971007544803e-37	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0029167	8117.22438033112	8804.59201265711	7708.40428890797	7998.79145277632	1672.79731269752	1942.42449615701	1766.23699253631	FBgn0029167	5430.06727658048	-2.10506155636954	0.0925465977264138	-22.7459637424222	1.57328325850873e-114	2.69881010164587e-111	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0263232	345.021940836945	256.001812370142	285.985318937796	218.33493871667	509.752316410576	591.0263911517	857.952910008867	FBgn0263232	437.725089776099	1.18650640959628	0.134266949547246	8.83692087738069	9.8392772384719e-19	1.12521974499165e-16	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0004396	1935.06967529902	2600.93165535875	3178.10351865745	1880.86452415298	4596.05202251052	4500.54821193885	6056.7758683117	FBgn0004396	3535.47792517561	1.00077246050274	0.137583211485363	7.2739431628197	3.49142935132113e-13	2.35795193277806e-11	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0036560	13.5061969722648	9.35166437881796	14.6659137916818	9.09728911319457	57.0480931723028	29.1587972864217	61.1717327533398	FBgn0036560	27.7142410668605	1.08900000108223	0.232752688074253	4.67878592549192	2.88578541674209e-06	6.67153140684553e-05	chr3L	16035484	16037227	+	protein_coding	CG5895
FBgn0010223	126.467117103934	98.1924759775886	123.193675850127	94.3843745493936	40.4857435416342	45.9811803362803	43.3622409390763	FBgn0010223	81.723829756862	-1.00079078320086	0.198606459774628	-5.03906461218089	4.67812547678622e-07	1.28603468635883e-05	chr3L	16662556	16667934	-	protein_coding	Galphaf
FBgn0000567	446.932336173125	611.365058765224	500.840955985934	459.413100216326	187.706629147577	210.840534224895	234.620696509645	FBgn0000567	378.817044431818	-1.11951756575507	0.14607352606439	-7.66406888310191	1.8013320308109e-14	1.50000241051118e-12	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0267635	206.276462849134	146.119755919031	167.924712914757	156.928237202606	294.441771211885	333.083184387201	518.023914075751	FBgn0267635	260.399719794338	1.07570636659243	0.152884030148068	7.03609373425475	1.97703965678355e-12	1.21121922401661e-10	chr3L	20404269	20407558	+	lincRNA	CR45973
FBgn0036985	2880.50346335756	3849.37884993094	4895.4820236634	3592.2920385727	1490.61146676017	1584.66848329668	1454.18372292117	FBgn0036985	2821.01714978609	-1.21294629483894	0.132998860535495	-9.1199750881717	7.51416002457015e-20	9.61924634787137e-18	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0037153	85.9485261871393	108.713098403759	112.92753619595	87.5614077144977	284.320335326477	314.017816930695	368.579047982149	FBgn0037153	194.581109820095	1.47261646433199	0.163787209198753	8.99103459626686	2.44913939374784e-19	2.95862937748946e-17	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0033065	3.68350826516311	11.6895804735225	13.1993224125136	15.9202559480905	82.8117481533427	103.1772827058	82.078527491823	FBgn0033065	44.6514607786079	1.73212244908076	0.228362868385281	7.58495661456846	3.32598338612964e-14	2.6135970373941e-12	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0033367	7915.85926183553	14704.3232776439	14074.1441701875	14203.142627975	36301.9099988203	43676.5138584497	26175.307012581	FBgn0033367	22435.8857439276	1.2642570852269	0.136222371391197	9.28083304023725	1.68158621295401e-20	2.21891768438562e-18	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0033368	38.0629187400189	56.1099862729078	74.0628646479932	60.269540374914	149.061146676017	153.644431855376	143.250260245163	FBgn0033368	96.3515926874842	1.0347438075083	0.198671305905374	5.20832036006821	1.90557714294573e-07	5.50307580977964e-06	chr2R	9044849	9060608	-	protein_coding	CG13743
FBgn0265512	57.7082961542221	180.019539292246	190.656879291864	163.751204037502	34.0448297963742	33.6447660997173	44.9108924011862	FBgn0265512	100.676629581873	-1.2717223132784	0.221932797389061	-5.73021350715011	1.00304302547143e-08	3.41392858312239e-07	chr2R	10155915	10158931	-	protein_coding	mlt
FBgn0033635	1614.60445622983	3158.52464394577	1991.63109291039	3047.59185292018	5636.71965763753	5730.82515898518	5386.20978521812	FBgn0033635	3795.15809254957	1.07611561535867	0.125561286659458	8.57044112869967	1.03089375881287e-17	1.07828972796804e-15	chr2R	11436242	11442216	+	protein_coding	CG7777
FBgn0033724	146.112494518137	109.882056451111	89.4620741292592	173.985654289846	410.378218626565	337.569153200497	310.504618153029	FBgn0033724	225.413467052635	1.17841778354108	0.174784241984525	6.74212829578433	1.56083161612466e-11	7.96860284017931e-10	chr2R	12383044	12384520	+	protein_coding	CG8501
FBgn0261673	18.4175413258156	29.2239511838061	18.3323922396023	14.7830948089412	186.78649861254	198.504119988332	201.324690074283	FBgn0261673	95.3388983190457	2.40798626619121	0.203299356879093	11.8445345974375	2.29689908461789e-32	6.35500111250568e-30	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0033775	34.3794104748557	23.3791609470449	27.1319405146114	35.2519953136289	114.096186344606	113.270712535715	130.086722817229	FBgn0033775	68.2280184210986	1.44850679242608	0.208552551587627	6.9455241923399	3.77057600770734e-12	2.18456034185832e-10	chr2R	12840812	12842558	-	protein_coding	Cyp9h1
FBgn0033782	217.326987644624	353.025330300378	338.78260858785	345.696986301394	153.661799351203	112.149220332391	107.631276616636	FBgn0033782	232.610601304925	-1.16115727508197	0.168021361259421	-6.91077173984547	4.82024130876324e-12	2.70217056897139e-10	chr2R	12924566	12930644	+	protein_coding	sug
FBgn0033913	10739.8822651273	10227.2139562848	9527.7108947661	9319.03553532869	4683.46442333905	4701.29531633383	3918.86252486902	FBgn0033913	7588.20927372125	-1.12609112949078	0.0971627301092587	-11.5897436004989	4.64520995619882e-31	1.20733229679749e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0034010	963.851329384348	1071.93452942201	1070.61170679277	1191.74487382849	391.055477390785	375.69988811351	408.06966026595	FBgn0034010	781.852495028266	-1.36781208404099	0.11482447281251	-11.9121999913242	1.02243504005837e-32	2.92314177952688e-30	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0011260	111.733084043281	114.55788864052	122.460380160543	113.716113914932	464.665920193756	504.671491495759	605.522721684959	FBgn0011260	291.046800019107	1.96746091024658	0.144441835125155	13.6211292839213	2.9989427465691e-42	1.51305481984254e-39	chr2R	16500177	16533459	+	protein_coding	Sema-2a
FBgn0024315	208.73213502591	212.750364618109	195.056653429368	208.100488464326	46.0065267518571	40.3737193196608	35.618983628527	FBgn0024315	135.234124462537	-1.90966797200144	0.180302355171875	-10.5914754700848	3.26405868373218e-26	6.36268893872066e-24	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0050463	19.6453774142033	21.0412448523404	24.198757756275	26.1547062004344	85.5721397584542	124.485634568954	153.316494748877	FBgn0050463	64.9163364713626	1.65857012208662	0.216007226956965	7.67830847815591	1.61202935290424e-14	1.35552703528036e-12	chr2R	16673234	16732916	-	protein_coding	CG30463
FBgn0000079	219.782659821399	430.176561425626	162.058347398084	388.909109589068	209.789761988468	192.896658971712	51.8798239806806	FBgn0000079	236.498989025006	-1.02473288050097	0.170172942379988	-6.02171453445745	1.72579077857869e-09	6.49215241573221e-08	chr2R	17118635	17120303	-	protein_coding	Amy-p
FBgn0261362	3129.75418930026	5315.25224131066	5074.40617192191	5436.7674062729	12770.4916957805	15566.3117821359	12723.7204126947	FBgn0261362	8573.81484277382	1.37429590315375	0.129070247410694	10.6476583931913	1.78806226308357e-26	3.56656047220181e-24	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0063498	764.94188306554	660.461296754019	599.102578390203	631.124432227873	261.317071950548	197.382627785008	289.597823414545	FBgn0063498	486.275387655391	-1.25089574147526	0.138577331917226	-9.02669811988037	1.76929664829258e-19	2.1678939074865e-17	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0034389	195.225938053645	298.084302074823	294.051571523221	222.883583273267	67.1695290577113	48.2241647429281	71.237967257054	FBgn0034389	170.98243656895	-1.6094459366185	0.185048544205315	-8.69742555138823	3.39498330790125e-18	3.63984647898363e-16	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0034391	38.0629187400189	67.7995667464302	60.1302465458955	45.4864455659728	160.102713096463	158.130400668671	150.993517555712	FBgn0034391	97.2436869884519	1.18679783671575	0.196558692016724	6.03788021042984	1.56151912059051e-09	5.90081499295104e-08	chr2R	18783298	18794594	+	protein_coding	CG15080
FBgn0264753	241.883709412378	306.267008406288	251.520421527343	303.622024152869	32.2045687262999	22.4298440664782	32.5216807043072	FBgn0264753	170.064179570852	-2.59345911905048	0.18196381003005	-14.2526094536172	4.31838362210092e-46	2.64562688048283e-43	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0034438	47.8856074471205	49.0962379887943	54.2638810292228	57.9952180966154	156.422190956314	188.410690158417	207.519295922722	FBgn0034438	108.799017371315	1.45443696212446	0.187558036229316	7.75459687766301	8.86245471646222e-15	7.8364200106285e-13	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0003748	1179.95048094058	1034.52787190674	1116.80933523657	1017.75921953864	2241.43798335048	2315.88139986387	2298.19876977104	FBgn0003748	1600.65215151542	1.04120236807131	0.0954993480770702	10.9027170241103	1.11866081594136e-27	2.46019328675104e-25	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0034636	18.4175413258156	51.4341540834988	42.5311499958773	40.9378010093756	5.52078321022285	4.48596881329564	10.0662345037141	FBgn0034636	24.7705189916857	-1.02853105665171	0.232167805833832	-4.43011921036052	9.41810111726878e-06	0.000195118486190373	chr2R	21560245	21576035	-	protein_coding	CG10440
FBgn0034718	224.69400417495	462.907386751489	467.84264995465	527.642768565285	1176.8469543125	1133.82861756047	1013.59238195091	FBgn0034718	715.336394752894	1.1789798065238	0.159261455009354	7.40279439525748	1.33348134408285e-13	9.69260126118527e-12	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0034736	465.34987749894	634.744219712269	538.239036154723	526.505607426136	49.6870488920056	59.4390867761672	38.7162865527467	FBgn0034736	330.38302328757	-3.01817864351876	0.158154182992205	-19.0837737353271	3.44466115098196e-81	3.69310733649653e-78	chr2R	22550093	22552113	+	protein_coding	CG6018
FBgn0261596	27826.4492711306	29828.3024942872	33337.8219355616	35819.4387220645	16216.3805494946	15682.9469712816	13378.7999811672	FBgn0261596	24584.3057035696	-1.04695773378398	0.0989413844082995	-10.5815957604102	3.62727106150613e-26	6.91357864323068e-24	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0040091	2440.93814371476	2071.39365990818	1972.56540498121	2546.10379055533	750.826516590307	804.109909783243	741.029724619572	FBgn0040091	1618.13816430751	-1.47305267344755	0.112465128772142	-13.0978614396291	3.38666171067384e-39	1.26293032575868e-36	chr2R	22641785	22643917	-	protein_coding	Ugt58Fa
FBgn0261584	574.627289365446	330.815127400685	346.115565483691	332.051052631602	70.8500511978599	97.5698216891801	92.9190877265921	FBgn0261584	263.563999356437	-1.76386401613837	0.173393168584892	-10.1726269295021	2.62725776590937e-24	4.50679797164093e-22	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0034885	128.922789280709	167.161000771371	95.3284396459319	117.12759733238	438.902265212716	405.980177603255	322.893829849908	FBgn0034885	239.473728528039	1.36090679257004	0.159278422284802	8.54420060826968	1.29429041679918e-17	1.30601516528077e-15	chr2R	23607591	23614710	-	protein_coding	CG4019
FBgn0034897	1494.27651956784	2214.00654168515	2091.35930669383	2050.30153388623	471.106833939016	529.344319968885	535.833405890014	FBgn0034897	1340.88978023299	-1.79510650765702	0.12629202865919	-14.2139335848446	7.50865543169072e-46	4.29344917584075e-43	chr2R	23713899	23734846	+	protein_coding	Sesn
FBgn0035085	1489.36517521429	1498.60421670558	1245.86937660337	1527.20740987754	265.917724625734	257.943206764499	212.939576040107	FBgn0035085	928.263812261588	-2.4140740790899	0.115185159372158	-20.9582040971975	1.57934340138481e-97	1.93514690766822e-94	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0025836	241.883709412378	137.937049587565	163.524938777252	154.653914924308	60.7286153124513	76.2614698260259	64.2690356775595	FBgn0025836	128.465533359649	-1.04880362974951	0.18985957706144	-5.52410179134714	3.31175429682062e-08	1.07188364542756e-06	chrX	127448	140340	+	protein_coding	RhoGAP1A
